CIK,accession number,URL,company,ticker,description,form type,type,filed at
1552947,0001580642-23-005247,https://www.sec.gov/Archives/edgar/data/1552947/000158064223005247/wldr_497.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2023-09-29
1552947,0001580642-24-002108,https://www.sec.gov/Archives/edgar/data/1552947/000158064224002108/affinity497.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-04-10
1552947,0001580642-24-001485,https://www.sec.gov/Archives/edgar/data/1552947/000158064224001485/affinity_497c.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-03-06
1552947,0001580642-23-005247,https://www.sec.gov/Archives/edgar/data/1552947/000158064223005247/wldr_497.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2023-09-29
1552947,0001580642-24-002108,https://www.sec.gov/Archives/edgar/data/1552947/000158064224002108/affinity497.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-04-10
1552947,0001580642-24-001485,https://www.sec.gov/Archives/edgar/data/1552947/000158064224001485/affinity_497c.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-03-06
1552947,0001580642-24-001200,https://www.sec.gov/Archives/edgar/data/1552947/000158064224001200/affinityworld-etf.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2024-02-28
1552947,0001580642-23-004516,https://www.sec.gov/Archives/edgar/data/1552947/000158064223004516/anfield-daetf_485b.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2023-08-28
1552947,0001580642-23-001692,https://www.sec.gov/Archives/edgar/data/1552947/000158064223001692/redwood_497.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2023-03-24
1552947,0001580642-24-002111,https://www.sec.gov/Archives/edgar/data/1552947/000158064224002111/leadersharesetfs497.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-04-10
1552947,0001580642-24-002182,https://www.sec.gov/Archives/edgar/data/1552947/000158064224002182/redwood497.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-04-17
1552947,0001580642-23-001062,https://www.sec.gov/Archives/edgar/data/1552947/000158064223001062/affinity485b.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2023-02-28
1552947,0001580642-24-002339,https://www.sec.gov/Archives/edgar/data/1552947/000158064224002339/redwood-mvportfolio_485b.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2024-04-29
1552947,0001580642-23-002262,https://www.sec.gov/Archives/edgar/data/1552947/000158064223002262/redwood-mvp_485b.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2023-04-26
1552947,0001580642-24-001501,https://www.sec.gov/Archives/edgar/data/1552947/000158064224001501/ledershares-etfs_497c.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-03-06
1552947,0001580642-24-001250,https://www.sec.gov/Archives/edgar/data/1552947/000158064224001250/leadershares_etfs-485b.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2024-02-29
1552947,0001580642-23-001067,https://www.sec.gov/Archives/edgar/data/1552947/000158064223001067/leadershares485b.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2023-02-28
1552947,0001580642-24-001497,https://www.sec.gov/Archives/edgar/data/1552947/000158064224001497/redwood_497c.htm,Two Roads Shared Trust (CIK 0001552947),,497,497,497,2024-03-06
1552947,0001580642-23-001066,https://www.sec.gov/Archives/edgar/data/1552947/000158064223001066/redwoodfund_485bpos.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2023-02-28
1552947,0001580642-24-001272,https://www.sec.gov/Archives/edgar/data/1552947/000158064224001272/redwood-funds_485b.htm,Two Roads Shared Trust (CIK 0001552947),,485BPOS,485BPOS,485BPOS,2024-02-29
1753673,0001213900-23-054487,https://www.sec.gov/Archives/edgar/data/1753673/000121390023054487/ea181293-6k_scienjoy.htm,Scienjoy Holding Corp (SJ) (CIK 0001753673),SJ,REPORT OF FOREIGN PRIVATE ISSUER,6-K,6-K,2023-07-05
1753673,0001213900-23-054487,https://www.sec.gov/Archives/edgar/data/1753673/000121390023054487/ea181293-6k_scienjoy.htm,Scienjoy Holding Corp (SJ) (CIK 0001753673),SJ,REPORT OF FOREIGN PRIVATE ISSUER,6-K,6-K,2023-07-05
1753673,0001213900-24-036648,https://www.sec.gov/Archives/edgar/data/1753673/000121390024036648/ea0203764-20f_scienjoy.htm,Scienjoy Holding Corp (SJ) (CIK 0001753673),SJ,ANNUAL REPORT,20-F,20-F,2024-04-26
1753673,0001213900-23-075492,https://www.sec.gov/Archives/edgar/data/1753673/000121390023075492/ea184970-f1_scienjoy.htm,Scienjoy Holding Corp (SJ) (CIK 0001753673),SJ,REGISTRATION STATEMENT,F-1,F-1,2023-09-08
1753673,0001213900-23-075290,https://www.sec.gov/Archives/edgar/data/1753673/000121390023075290/ea184221-f3a2_scienjoy.htm,Scienjoy Holding Corp (SJ) (CIK 0001753673),SJ,AMENDMENT NO. 2 TO FORM F-3 ON FORM F-1,F-3/A,F-3/A,2023-09-08
1753673,0001213900-23-078289,https://www.sec.gov/Archives/edgar/data/1753673/000121390023078289/ea185552-f1a1_scienjoy.htm,"Scienjoy Holding Corp (SJ, SJOYW) (CIK 0001753673)",SJ,AMENDMENT NO. 1 TO FORM F-1,F-1/A,F-1/A,2023-09-21
1013871,0001104659-24-038749,https://www.sec.gov/Archives/edgar/data/1013871/000110465924038749/tm249754d1_ex99-1.htm,"NRG ENERGY, INC. (NRG) (CIK 0001013871)",NRG,EXHIBIT 99.1,8-K,EX-99.1,2024-03-26
1013871,0001104659-24-038749,https://www.sec.gov/Archives/edgar/data/1013871/000110465924038749/tm249754d1_ex99-1.htm,"NRG ENERGY, INC. (NRG) (CIK 0001013871)",NRG,EXHIBIT 99.1,8-K,EX-99.1,2024-03-26
25445,0000025445-23-000111,https://www.sec.gov/Archives/edgar/data/25445/000002544523000111/nxt-petratispressreleasevf.htm,"Crane NXT, Co. (CXT) (CIK 0000025445)",CXT,EX-99.1,8-K,EX-99.1,2023-07-31
25445,0000025445-23-000111,https://www.sec.gov/Archives/edgar/data/25445/000002544523000111/nxt-petratispressreleasevf.htm,"Crane NXT, Co. (CXT) (CIK 0000025445)",CXT,EX-99.1,8-K,EX-99.1,2023-07-31
907471,0000907471-24-000018,https://www.sec.gov/Archives/edgar/data/907471/000090747124000018/ex991bodappointmentpressre.htm,"PATHWARD FINANCIAL, INC. (CASH) (CIK 0000907471)",CASH,EX-99.1,8-K,EX-99.1,2024-02-28
907471,0000907471-24-000018,https://www.sec.gov/Archives/edgar/data/907471/000090747124000018/ex991bodappointmentpressre.htm,"PATHWARD FINANCIAL, INC. (CASH) (CIK 0000907471)",CASH,EX-99.1,8-K,EX-99.1,2024-02-28
1371128,0001493152-24-004328,https://www.sec.gov/Archives/edgar/data/1371128/000149315224004328/form8-k.htm,"NewHydrogen, Inc. (NEWH) (CIK 0001371128)",NEWH,,8-K,8-K,2024-01-30
1371128,0001493152-24-004328,https://www.sec.gov/Archives/edgar/data/1371128/000149315224004328/ex99-1.htm,"NewHydrogen, Inc. (NEWH) (CIK 0001371128)",NEWH,,8-K,EX-99.1,2024-01-30
1371128,0001493152-24-004328,https://www.sec.gov/Archives/edgar/data/1371128/000149315224004328/form8-k.htm,"NewHydrogen, Inc. (NEWH) (CIK 0001371128)",NEWH,,8-K,8-K,2024-01-30
1371128,0001493152-24-004328,https://www.sec.gov/Archives/edgar/data/1371128/000149315224004328/ex99-1.htm,"NewHydrogen, Inc. (NEWH) (CIK 0001371128)",NEWH,,8-K,EX-99.1,2024-01-30
1164771,0001654954-23-004413,https://www.sec.gov/Archives/edgar/data/1164771/000165495423004413/ndm_ex991.htm,NORTHERN DYNASTY MINERALS LTD (NAK) (CIK 0001164771),NAK,PRESS RELEASE,6-K,EX-99.1,2023-04-05
1164771,0001654954-23-004413,https://www.sec.gov/Archives/edgar/data/1164771/000165495423004413/ndm_ex991.htm,NORTHERN DYNASTY MINERALS LTD (NAK) (CIK 0001164771),NAK,PRESS RELEASE,6-K,EX-99.1,2023-04-05
1164771,0001062993-23-012083,https://www.sec.gov/Archives/edgar/data/1164771/000106299323012083/exhibit99-3.htm,NORTHERN DYNASTY MINERALS LTD (NAK) (CIK 0001164771),NAK,EXHIBIT 99.3,6-K,EX-99.3,2023-05-25
1164771,0001654954-23-004217,https://www.sec.gov/Archives/edgar/data/1164771/000165495423004217/ndm_ex991.htm,NORTHERN DYNASTY MINERALS LTD (NAK) (CIK 0001164771),NAK,ANNUAL INFORMATION FORM,40-F,EX-99.1,2023-04-03
1164771,0001654954-24-004069,https://www.sec.gov/Archives/edgar/data/1164771/000165495424004069/ndm_ex991.htm,NORTHERN DYNASTY MINERALS LTD (NAK) (CIK 0001164771),NAK,ANNUAL INFORMATION FORM,40-F,EX-99.1,2024-04-02
1378872,0001752724-23-092377,https://www.sec.gov/Archives/edgar/data/1378872/000175272423092377/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-05-01
1378872,0001752724-23-017284,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017284/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-01-30
1378872,0001752724-23-168094,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168094/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-07-28
1378872,0001752724-23-242143,https://www.sec.gov/Archives/edgar/data/1378872/000175272423242143/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-10-30
1378872,0001752724-24-016888,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016888/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2024-01-29
1378872,0001752724-24-093466,https://www.sec.gov/Archives/edgar/data/1378872/000175272424093466/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2024-04-29
1378872,0001752724-23-092377,https://www.sec.gov/Archives/edgar/data/1378872/000175272423092377/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-05-01
1378872,0001752724-23-017284,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017284/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-01-30
1378872,0001752724-23-168094,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168094/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-07-28
